+--------+--------+--------------------+
|,LR,|,WD,|,Loss,|
+--------+--------+--------------------+
|,0.0005,|,0.0001,|,19.199133107662202,|
|,0.0005,|,1e-05,|,19.13846469402313,|
|,0.0005,|,0.0,|,19.269185614585876,|
|,0.0008,|,0.0001,|,19.289217395782472,|
|,0.0008,|,1e-05,|,19.460470049381257,|
|,0.0008,|,0.0,|,19.647625467777253,|
|,0.001,|,0.0001,|,19.722048971652985,|
|,0.001,|,1e-05,|,19.75244073867798,|
|,0.001,|,0.0,|,19.215717458724974,|
+--------+--------+--------------------+
